"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","24","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","11","21","4 out of 5 stars","+1"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","23","4 out of 5 stars","-1"
"4",2,"CeeDee Lamb",DAL,"WR3","7","24","2 out of 5 stars","0"
"5",2,"Breece Hall",NYJ,"RB2","7","22","3 out of 5 stars","+4"
"6",2,"Jonathan Taylor",IND,"RB3","11","24","3 out of 5 stars","-1"
"7",2,"A.J. Brown",PHI,"WR4","10","26","3 out of 5 stars","0"
"8",2,"Christian McCaffrey",SF,"RB4","9","27","4 out of 5 stars","-2"
"9",2,"Garrett Wilson",NYJ,"WR5","7","23","3 out of 5 stars","+10"
"10",2,"Jaylen Waddle",MIA,"WR6","10","24","3 out of 5 stars","0"
"11",2,"Saquon Barkley",NYG,"RB5","13","26","2 out of 5 stars","0"
"12",3,"Amon-Ra St. Brown",DET,"WR7","9","23","3 out of 5 stars","+1"
"13",3,"Jahmyr Gibbs",DET,"RB6","9","21","5 out of 5 stars","+3"
"14",3,"Kyle Pitts",ATL,"TE1","11","22","3 out of 5 stars","+23"
"15",3,"Tyreek Hill",MIA,"WR8","10","29","3 out of 5 stars","0"
"16",3,"Mark Andrews",BAL,"TE2","13","27","4 out of 5 stars","+16"
"17",3,"Chris Olave",NO,"WR9","11","23","4 out of 5 stars","+7"
"18",3,"Travis Etienne Jr.",JAC,"RB7","9","24","2 out of 5 stars","+12"
"19",4,"Stefon Diggs",BUF,"WR10","13","29","2 out of 5 stars","-7"
"20",4,"DeVonta Smith",PHI,"WR11","10","24","3 out of 5 stars","+13"
"21",4,"Josh Jacobs",LV,"RB8","13","25","3 out of 5 stars","+8"
"22",4,"Tony Pollard",DAL,"RB9","7","26","3 out of 5 stars","+17"
"23",4,"Tee Higgins",CIN,"WR12","7","24","4 out of 5 stars","-3"
"24",4,"Cooper Kupp",LAR,"WR13","10","30","3 out of 5 stars","-6"
"25",4,"Kenneth Walker III",SEA,"RB10","5","22","2 out of 5 stars","-3"
"26",4,"Travis Kelce",KC,"TE3","10","33","4 out of 5 stars","-1"
"27",4,"Rhamondre Stevenson",NE,"RB11","11","25","2 out of 5 stars","+22"
"28",4,"Austin Ekeler",LAC,"RB12","5","28","3 out of 5 stars","-11"
"29",4,"Drake London",ATL,"WR14","11","22","4 out of 5 stars","+5"
"30",4,"Patrick Mahomes II",KC,"QB1","10","27","3 out of 5 stars","-22"
"31",4,"DK Metcalf",SEA,"WR15","5","25","3 out of 5 stars","-4"
"32",4,"Jaxon Smith-Njigba",SEA,"WR16","5","21","3 out of 5 stars","-6"
"33",4,"Nick Chubb",CLE,"RB13","5","27","3 out of 5 stars","+2"
"34",4,"Najee Harris",PIT,"RB14","6","25","3 out of 5 stars","-11"
"35",4,"Davante Adams",LV,"WR17","13","30","2 out of 5 stars","-7"
"36",5,"Josh Allen",BUF,"QB2","13","27","3 out of 5 stars","-22"
"37",5,"Javonte Williams",DEN,"RB15","9","23","4 out of 5 stars","+3"
"38",5,"DJ Moore",CHI,"WR18","13","26","3 out of 5 stars","+16"
"39",5,"Jalen Hurts",PHI,"QB3","10","25","3 out of 5 stars","-18"
"40",5,"Christian Watson",GB,"WR19","6","24","3 out of 5 stars","+11"
"41",5,"Chris Godwin",TB,"WR20","5","27","4 out of 5 stars","+7"
"42",5,"Jerry Jeudy",DEN,"WR21","9","24","2 out of 5 stars","+18"
"43",5,"Joe Burrow",CIN,"QB4","7","26","3 out of 5 stars","-12"
"44",5,"Derrick Henry",TEN,"RB16","7","29","4 out of 5 stars","-6"
"45",5,"Jordan Addison",MIN,"WR22","13","21","3 out of 5 stars","0"
"46",5,"J.K. Dobbins",BAL,"RB17","13","24","3 out of 5 stars","+4"
"47",6,"T.J. Hockenson",MIN,"TE4","13","26","3 out of 5 stars","+5"
"48",6,"Brandon Aiyuk",SF,"WR23","9","25","3 out of 5 stars","+14"
"49",6,"Deebo Samuel",SF,"WR24","9","27","3 out of 5 stars","-13"
"50",6,"Treylon Burks",TEN,"WR25","7","23","3 out of 5 stars","+15"
"51",6,"Michael Pittman Jr.",IND,"WR26","11","25","4 out of 5 stars","-7"
"52",6,"Dameon Pierce",HOU,"RB18","7","23","3 out of 5 stars","+14"
"53",6,"Justin Herbert",LAC,"QB5","5","25","3 out of 5 stars","-11"
"54",6,"Lamar Jackson",BAL,"QB6","13","26","3 out of 5 stars","-11"
