,player_name,position,season,full_year_score,full_year_tier,half_1_score,half_1_tier,half_2_score,half_2_tier,quarter_1_score,quarter_1_tier,quarter_2_score,quarter_2_tier,quarter_3_score,quarter_3_tier,final_6_score,final_6_tier,avg_score,avg_tier
0,C.McCaffrey,RB,2023,18.61093439563445,1,18.13793655032899,1.0,19.083932240939912,1.0,19.47373723118898,1.0,17.76196323558772,2.0,19.464159871891482,2.0,18.74265179682678,2.0,18.753616474628334,1.4285714285714286
1,K.Williams,RB,2023,18.517037919768097,1,17.652758373360253,2.0,19.38131746617594,1.0,17.693873741706938,3.0,17.479703876279775,2.0,20.83297992547869,1.0,19.38131746617594,1.0,18.70556982413509,1.5714285714285714
3,S.Barkley,RB,2023,17.17411686346262,2,17.952345418669243,1.0,16.726766765372886,3.0,17.200401234652904,4.0,18.498644243604968,1.0,17.399246008872904,3.0,16.44961316302395,5.0,17.343019099665643,2.7142857142857144
2,A.Kamara,RB,2023,17.25396049473131,2,18.076049718901398,1.0,16.43558187250099,4.0,17.435797359148907,4.0,18.563366290299825,1.0,16.55951637941302,5.0,16.579897534849703,5.0,17.272024235692164,3.142857142857143
4,J.Jacobs,RB,2023,17.112200127092397,2,17.46748267253771,2.0,16.746940100470148,3.0,17.25355496847466,4.0,17.750094501783295,2.0,17.00043386026901,4.0,16.59978409601954,5.0,17.132927189520963,3.142857142857143
6,R.White,RB,2023,16.828445372093718,3,16.710689262197548,3.0,17.308671024106786,2.0,16.47440187829732,5.0,15.767861591523603,6.0,17.29317776549544,3.0,17.09082501357334,4.0,16.78201027246968,3.7142857142857144
7,J.Mixon,RB,2023,16.751900534404328,3,16.691362207768176,3.0,16.888228568035725,3.0,16.102184109193818,6.0,16.693640607445413,3.0,16.38742234724001,5.0,16.885012748237916,4.0,16.628535874617913,3.857142857142857
8,T.Etienne,RB,2023,16.63132196463819,3,17.250132496718084,2.0,16.08126815834495,4.0,16.378801991589306,5.0,17.71579918186319,2.0,16.5253944414113,5.0,16.22394074411364,6.0,16.686665568382665,3.857142857142857
5,T.Pollard,RB,2023,16.861144746608616,3,16.997866050463077,3.0,16.73953462764218,3.0,17.765760844359562,3.0,15.742726115537002,6.0,16.16193236680116,6.0,16.975025436463294,4.0,16.7491414554107,4.0
11,A.Ekeler,RB,2023,16.23091791309978,4,16.913954197395295,3.0,16.073302978271318,4.0,18.887076472386216,2.0,15.87091484276585,5.0,16.846186308920785,4.0,15.59785011572446,7.0,16.63145754693767,4.142857142857143
9,I.Pacheco,RB,2023,16.46427982247125,4,15.64148495006192,5.0,17.619649614522448,2.0,15.768734369241955,7.0,15.71215521268309,6.0,16.412998426478755,5.0,18.28667387565556,2.0,16.557996610159282,4.428571428571429
12,J.Taylor,RB,2023,16.22278325764911,4,15.680849310930546,5.0,16.9531562694134,3.0,,,15.127223740002677,7.0,16.63598526240279,5.0,16.55333735372748,5.0,16.195555865687666,4.833333333333333
20,D.Montgomery,RB,2023,15.778239017594826,5,16.921503968504258,3.0,15.143091822645143,6.0,17.218680301832993,4.0,17.67843295879161,2.0,15.314945025156353,7.0,15.106577074517828,8.0,16.16592430986329,5.0
16,R.Stevenson,RB,2023,15.906785421106271,5,15.574795077460468,5.0,16.76443403191894,3.0,15.642012688194926,7.0,15.1847030522377,7.0,17.26710707356523,3.0,16.059740261066903,6.0,16.057082515078633,5.142857142857143
18,J.Gibbs,RB,2023,15.862365500850037,5,15.582935144644205,5.0,16.04865240498726,4.0,14.517801338453326,9.0,16.510907576137033,4.0,17.29097076090918,3.0,15.73649496513531,7.0,15.935732527302335,5.285714285714286
19,D.Henry,RB,2023,15.838348627955819,5,16.01597443452421,4.0,15.869810143201931,4.0,15.704394541736747,7.0,15.915894284419892,5.0,16.00989297422775,6.0,16.087333479429606,6.0,15.920235497927994,5.285714285714286
13,B.Hall,RB,2023,16.16349694510004,4,15.365791883446143,6.0,16.817061627309275,3.0,13.793327368208885,11.0,16.3424771966094,4.0,15.87069698244558,6.0,17.23738966167277,3.0,15.941463094970299,5.285714285714286
17,D.Swift,RB,2023,15.886248744293766,5,16.398251087712694,4.0,15.459658051086405,5.0,16.12248061186824,6.0,16.3602737348776,4.0,16.041498978270013,6.0,15.112262074110765,8.0,15.911524754602784,5.428571428571429
14,A.Jones,RB,2023,16.000377896674276,5,15.533008959338286,5.0,16.70898880117574,3.0,14.828044023822292,8.0,14.141730790226509,9.0,15.391796492430002,7.0,17.473400605288553,3.0,15.725335366993667,5.714285714285714
15,R.Mostert,RB,2023,15.915313826006933,5,15.680497608164513,5.0,16.128644454722565,4.0,15.808193772903698,7.0,15.184741270331411,7.0,15.93374540099453,6.0,16.160287225442588,6.0,15.830203365509462,5.714285714285714
10,J.Conner,RB,2023,16.32317763118702,4,15.349295032206067,6.0,16.931854255550114,3.0,16.07519641613239,6.0,13.36638635417151,11.0,15.416368951012588,7.0,17.326490476131397,3.0,15.826967016627297,5.714285714285714
21,J.Cook,RB,2023,15.745034695438562,5,15.217619897962159,6.0,16.164430888887644,4.0,15.654455898965843,7.0,14.713220894203607,8.0,15.587511200373317,7.0,16.543566758955432,5.0,15.660834319255224,6.0
26,N.Chubb,RB,2023,15.285117956086243,6,15.285117956086243,6.0,,,15.285117956086243,7.0,,,,,,,15.285117956086244,6.333333333333333
22,K.Walker,RB,2023,15.580432426102355,6,16.292920256402088,4.0,14.66630172091555,7.0,16.513101083854473,5.0,16.46551247155587,4.0,13.79840529473949,11.0,15.132342158456117,8.0,15.492716487432277,6.428571428571429
23,C.Hubbard,RB,2023,15.545068342251982,6,14.86405485279145,7.0,16.22314276169935,4.0,13.871102423848004,11.0,15.478846837900896,7.0,15.475491819052394,7.0,16.80224533010378,4.0,15.46570748109255,6.571428571428571
24,Z.Moss,RB,2023,15.46633992937153,6,16.094699482067814,4.0,14.355140430080528,8.0,17.255409816766274,4.0,16.02083618329805,5.0,13.157201857065939,12.0,15.283366820833104,7.0,15.376142074211893,6.571428571428571
25,N.Harris,RB,2023,15.444057800901161,6,14.874130342834405,7.0,16.111099230401077,4.0,14.32500803543398,10.0,14.70903461778764,8.0,15.518974318225816,7.0,16.132154425899596,6.0,15.302065538783383,6.857142857142857
31,B.Robinson,RB,2023,15.020525152207037,7,14.544194510544678,8.0,15.501645227951716,5.0,15.467165124540042,7.0,13.931178597059514,10.0,15.292736389416213,7.0,15.580123466077726,7.0,15.04822406682813,7.285714285714286
30,J.Ford,RB,2023,15.030120051482875,7,14.857334080496884,7.0,15.481679644518712,5.0,14.420801054324404,9.0,14.324331475632421,9.0,15.91882259340908,6.0,15.019676089734284,8.0,15.00753785565695,7.285714285714286
33,J.Dobbins,RB,2023,14.980297019497291,7,14.980297019497291,7.0,,,14.980297019497291,8.0,,,,,,,14.980297019497291,7.333333333333333
34,A.Mattison,RB,2023,14.934980755871669,7,15.860395539539164,4.0,14.022620182784312,9.0,16.524064165030104,5.0,15.27725078948636,7.0,14.973472730805133,8.0,13.227775006946468,12.0,14.974365595780458,7.428571428571429
27,D.Singletary,RB,2023,15.23423089437545,6,13.650387258059306,10.0,16.534301864738215,4.0,12.926758249323958,13.0,13.754304795900218,10.0,16.83431426808724,4.0,16.05803935360032,6.0,14.998905240583529,7.571428571428571
38,K.Herbert,RB,2023,14.669542787383678,8,15.068135346603734,7.0,14.38483381651221,8.0,14.814786851863511,8.0,16.312776630320997,4.0,14.006017030877409,10.0,14.290701018081272,9.0,14.792399068806118,7.714285714285714
32,J.Warren,RB,2023,14.986002656242468,7,14.309707137498311,9.0,15.54670894713496,5.0,14.242080068583556,10.0,14.145879803297703,9.0,15.238012642387535,7.0,15.387117878760352,7.0,14.836501304843553,7.714285714285714
35,D.Henderson,RB,2023,14.877487448431328,8,14.764326745611,8.0,14.884557489200212,7.0,,,14.870417407662444,7.0,14.590492123149971,9.0,,,14.79745624281099,7.8
29,D.Achane,RB,2023,15.0534304522703,7,15.042867651999941,7.0,15.059466338139078,6.0,14.907474990766213,8.0,15.832404291646785,5.0,11.063227302278039,16.0,15.725506177449253,7.0,14.669196743507086,8.0
36,A.Dillon,RB,2023,14.790158299836312,8,14.70122453394904,8.0,14.771498711106007,7.0,14.261992287770179,10.0,15.000177307668357,7.0,14.90345995374073,8.0,14.74515016255209,9.0,14.739094465231817,8.142857142857142
28,E.Elliott,RB,2023,15.11164069467997,7,13.823053442069419,10.0,16.30776993636923,4.0,13.515692215978401,12.0,13.831641455834955,10.0,13.940359237459617,10.0,16.781573624276344,4.0,14.75881865809542,8.142857142857142
37,D.Foreman,RB,2023,14.764868821548552,8,15.374618660035642,6.0,14.448189602230343,8.0,13.369393758650327,12.0,15.757825874711637,6.0,14.414355514551701,9.0,13.752243170371402,11.0,14.554499343157087,8.571428571428571
39,T.Spears,RB,2023,14.583417720267073,8,14.299671971512382,9.0,14.884911281421902,7.0,14.081211955519516,10.0,14.262576442360153,9.0,13.841715094953553,11.0,15.1412214454321,8.0,14.442103701638095,8.857142857142858
40,J.Williams,RB,2023,14.45994717333755,8,14.222453397906541,9.0,14.547033828410475,8.0,14.25396960232762,10.0,13.973249209047083,10.0,14.776665619762504,8.0,14.616740954744241,9.0,14.407151397933717,8.857142857142858
41,G.Edwards,RB,2023,14.217163778417031,9,14.403481026888702,9.0,13.865417000573082,9.0,13.75874943610864,11.0,15.38290110581255,7.0,14.444750798968466,9.0,13.711168069215852,11.0,14.254804459426335,9.285714285714286
43,T.Allgeier,RB,2023,13.977711477093331,9,14.568889608089563,8.0,13.505331789663062,10.0,14.252372278275692,10.0,14.350499908942059,9.0,13.678135997360277,11.0,13.25885616155397,12.0,13.941685317282563,9.857142857142858
42,Z.Charbonnet,RB,2023,14.10403318417587,9,13.095963487683036,12.0,14.7488159129741,7.0,12.989568268516974,13.0,12.976349191926358,12.0,15.382425602278769,7.0,14.473349735002111,9.0,13.967215054651033,9.857142857142858
44,A.Gibson,RB,2023,13.816758189262668,10,13.388012148589018,11.0,14.413533555843955,8.0,13.069643065045486,13.0,13.267930916294304,11.0,14.15715998026052,10.0,14.4041343354518,9.0,13.788167455821107,10.285714285714286
52,C.Akers,RB,2023,13.557972399354465,10,13.557972399354465,11.0,14.067735027890238,9.0,14.461977619959642,9.0,13.030530077874229,12.0,13.52579331714474,11.0,,,13.700330140262963,10.333333333333334
47,M.Sanders,RB,2023,13.68889007364132,10,14.364535194291989,9.0,13.233358384664992,10.0,15.562154500614277,7.0,12.692709152753402,13.0,13.305395955136543,12.0,13.052320286776323,12.0,13.699909078268407,10.428571428571429
48,D.Pierce,RB,2023,13.674560006367775,10,14.703563600221319,8.0,12.47405581353864,13.0,14.967201103369316,8.0,14.70399350983734,8.0,12.955675922777758,12.0,12.47405581353864,14.0,13.707586538521541,10.428571428571429
55,R.Freeman,RB,2023,13.33585894651338,11,13.698081874033038,10.0,13.216928663676034,10.0,,,13.75211493644409,10.0,14.541681231444146,9.0,12.608761445137475,13.0,13.525571182874694,10.5
46,K.Hunt,RB,2023,13.721824975554792,10,13.833359898863229,10.0,13.755435441263833,9.0,12.310031532942268,14.0,13.874632064784567,10.0,13.9866608294262,10.0,13.56969387439651,11.0,13.578805516747341,10.571428571428571
51,K.Gainwell,RB,2023,13.563217593738521,10,13.732382904429468,10.0,13.379446402892802,10.0,14.722284675651549,8.0,13.044974021182767,12.0,12.686910037357702,13.0,13.623999552160791,11.0,13.536173598201945,10.571428571428571
49,J.Hill,RB,2023,13.65628585281961,10,14.015692591509106,10.0,13.522285891451816,10.0,13.483672563834517,12.0,13.608135464763398,10.0,13.19788145031254,12.0,13.773964520832664,11.0,13.608274047931948,10.714285714285714
50,R.Johnson,RB,2023,13.569070733658513,10,13.16228876013506,12.0,13.743337586344538,9.0,13.752865065274918,11.0,12.373501728184388,14.0,13.671400232397739,11.0,14.155355810037372,9.0,13.48968855943322,10.857142857142858
56,S.Perine,RB,2023,13.29924712557421,11,13.39977318088527,11.0,13.209890631964377,10.0,13.710472285701947,11.0,13.148019686014578,12.0,13.23761180975512,12.0,13.169736977399051,12.0,13.310678813899225,11.285714285714286
54,K.Mitchell,RB,2023,13.491995179725127,10,12.643846306328706,13.0,13.868711344235601,9.0,,,11.231698192662275,16.0,13.680169363772787,11.0,14.362659163102485,9.0,13.213179924971163,11.333333333333334
45,T.Chandler,RB,2023,13.751377658509892,10,11.710443264388203,15.0,15.026961654835947,6.0,11.971711103793355,15.0,11.318541505280477,16.0,14.020370885703443,10.0,15.155169257057972,8.0,13.279225047081328,11.428571428571429
60,L.Murray,RB,2023,13.181387389054121,11,13.06127612289205,12.0,13.29091313533761,10.0,12.927362747413913,13.0,13.157142752488038,12.0,13.702087283450396,11.0,12.958453498833736,12.0,13.182660418495695,11.571428571428571
59,S.Ahmed,RB,2023,13.204949377135875,11,13.202927347799724,12.0,13.062252116846606,11.0,12.99415066051812,13.0,13.440613361740558,11.0,13.015898590679228,12.0,,,13.153465242453352,11.666666666666666
61,J.Corbin,RB,2023,13.000186292622008,12,,,13.000186292622008,11.0,,,,,13.000186292622008,12.0,,,13.00018629262201,11.666666666666666
53,D.Jackson,RB,2023,13.50602796023795,10,13.50602796023795,11.0,10.997124218997659,16.0,16.01493170147824,6.0,,,10.997124218997659,16.0,,,13.004247211989892,11.8
