,player_name,position,season,full_year_score,full_year_tier,half_1_score,half_1_tier,half_2_score,half_2_tier,quarter_1_score,quarter_1_tier,quarter_2_score,quarter_2_tier,quarter_3_score,quarter_3_tier,final_6_score,final_6_tier,avg_score,avg_tier
1,M.Andrews,TE,2023,17.60069993086581,1,18.169536125165177,1.0,16.16110727716034,4.0,18.736291638052347,1.0,18.676654895010294,2.0,16.763566319359075,3.0,,,17.684642697602175,2.0
0,T.Kelce,TE,2023,17.60613172147054,1,18.374554855447062,1.0,16.3011728455753,4.0,18.592585432304897,1.0,19.287088616258167,1.0,16.128318946433005,4.0,16.567115547445944,3.0,17.550995423562135,2.142857142857143
4,C.Kmet,TE,2023,17.068527052495273,2,17.065570699674353,2.0,17.193916992380743,2.0,17.07161265224888,2.0,17.353999913427423,3.0,17.11296278493322,3.0,17.490711294710405,1.0,17.1939001985529,2.142857142857143
2,G.Kittle,TE,2023,17.246954968138542,2,17.13436603913907,2.0,17.359543897138014,2.0,16.547671895229605,3.0,16.978038399898303,3.0,19.437665771472297,1.0,16.44368364445349,3.0,17.306846373638475,2.2857142857142856
3,T.Hockenson,TE,2023,17.179093223820495,2,16.925846421669075,2.0,17.84363433872897,1.0,16.05847775319689,3.0,16.711604385201156,4.0,18.787274321196502,1.0,16.34619565551371,3.0,17.12173229990383,2.2857142857142856
5,S.LaPorta,TE,2023,16.86776056792461,2,17.014936623932073,2.0,16.73693740702909,3.0,17.101090814613258,2.0,17.031108392674724,3.0,15.98395929225214,4.0,17.227452849053506,2.0,16.85189227821134,2.5714285714285716
6,E.Engram,TE,2023,16.538799034637496,3,16.296651190670318,3.0,16.75404156260832,3.0,16.579894823409305,3.0,16.174545334974415,4.0,15.406389217517368,5.0,17.052077999722904,2.0,16.40034273764859,3.2857142857142856
7,J.Ferguson,TE,2023,16.16100592351291,4,16.017466107048705,3.0,16.634764218819484,3.0,16.217242210323707,3.0,15.477579986554518,5.0,15.507604793116823,5.0,16.867312333841756,2.0,16.12613936760256,3.5714285714285716
8,D.Goedert,TE,2023,16.08417728676248,4,16.216476721110823,3.0,16.076646148939382,4.0,15.558431588786561,4.0,16.357683875421095,4.0,16.23460161115139,4.0,15.846038304935462,4.0,16.05343650530103,3.857142857142857
9,D.Schultz,TE,2023,16.07983348407981,4,16.66496290528178,3.0,16.212254179864967,4.0,14.46146366018933,6.0,17.36929635028067,3.0,15.832996186596532,4.0,15.236425359976815,5.0,15.97960458946713,4.142857142857143
15,H.Henry,TE,2023,15.332215016016418,5,15.032259795798398,4.0,16.01563323382813,4.0,16.955019192984096,2.0,13.626021285427361,7.0,15.149735785349089,5.0,16.355006370134834,3.0,15.495127239934046,4.285714285714286
11,D.Njoku,TE,2023,15.744423289517808,4,15.530706120481948,4.0,15.95629175822586,4.0,14.950287261292168,5.0,16.330031219925857,4.0,16.226604470140902,4.0,15.617755210527328,5.0,15.765157047158839,4.285714285714286
12,T.McBride,TE,2023,15.692251734172283,4,14.326947362549715,5.0,16.78971093075461,3.0,13.557539207337493,9.0,14.749007567229649,5.0,16.424433957736674,4.0,17.2231634363918,2.0,15.537579170881747,4.571428571428571
13,D.Kincaid,TE,2023,15.471645489361027,5,15.20655808421364,4.0,15.890254111301548,4.0,15.017335850862354,5.0,14.976590813451446,5.0,15.769991189607003,4.0,15.37013238500615,5.0,15.386072560543308,4.571428571428571
16,T.Higbee,TE,2023,15.229360067591333,5,15.038933049501752,4.0,15.069993198666664,6.0,16.472933906927647,3.0,14.98136918888476,5.0,14.762666707249702,5.0,15.554386573746047,5.0,15.3013775275097,4.714285714285714
10,D.Waller,TE,2023,16.075286304373208,4,16.426287702499806,3.0,15.37328350812001,5.0,15.473478491284745,4.0,16.638214669620545,4.0,13.555862515771228,8.0,15.37328350812001,5.0,15.559385242827078,4.714285714285714
22,J.Smith,TE,2023,14.957275309790532,5,15.509692105773393,4.0,14.828055230142498,6.0,16.708738048613228,3.0,14.743641096812746,5.0,14.917500690925301,5.0,14.459092500481248,6.0,15.160570711791278,4.857142857142857
14,K.Pitts,TE,2023,15.439652321257245,5,15.572987927921247,4.0,15.400917732894904,5.0,15.112280561348195,5.0,15.061878964955117,5.0,15.26130643125193,5.0,15.322555639984419,5.0,15.310225654230436,4.857142857142857
19,C.Okonkwo,TE,2023,15.085998264787293,5,14.542980461499571,5.0,15.405100392705805,5.0,14.258806383806968,7.0,14.823042639674604,5.0,14.841398726075667,5.0,15.846620703656027,4.0,14.971992510315134,5.142857142857143
21,C.Otton,TE,2023,14.97999943031051,5,14.959731976343203,4.0,15.485052351066352,5.0,14.940183146713224,5.0,13.784915950532385,7.0,15.959033582765594,4.0,14.748637907768133,6.0,14.979650620785629,5.142857142857143
20,P.Freiermuth,TE,2023,15.075664576815173,5,13.990213006353022,6.0,15.69592261707926,4.0,13.990213006353022,8.0,13.044617213270438,8.0,17.802028385293937,2.0,15.981150258161158,4.0,15.082829866189432,5.285714285714286
26,Z.Ertz,TE,2023,14.660134738008846,6,14.660134738008846,5.0,,,15.892383397853886,4.0,13.707503965652638,7.0,,,,,14.730039209881053,5.5
25,D.Smythe,TE,2023,14.689240967293035,6,14.59847531146623,5.0,14.692926548662339,6.0,15.06117458026375,5.0,14.29397708474446,6.0,13.93909139708063,7.0,14.795134232424308,6.0,14.581431445990678,5.857142857142857
27,G.Everett,TE,2023,14.637894060039066,6,14.515109927843683,5.0,14.571030102758275,6.0,14.548647624419477,6.0,14.428212013655203,6.0,13.555479292577033,8.0,15.208565095688483,5.0,14.494991159568745,6.0
24,M.Mayer,TE,2023,14.780411814696038,6,14.302991321400313,5.0,15.188057227832248,5.0,12.536569927805449,11.0,15.290864638437014,5.0,14.870055389625714,5.0,14.970279491098642,5.0,14.562747115842201,6.0
17,I.Likely,TE,2023,15.203677024357582,5,13.802903690959866,7.0,16.07007887327092,4.0,13.395109046836595,9.0,12.83176431670048,9.0,14.17229487560716,7.0,16.9482628330995,2.0,14.632012951547447,6.142857142857143
29,T.Conklin,TE,2023,14.49750087681882,6,14.068579762399294,6.0,14.847936445519078,6.0,14.312675073965345,7.0,13.671180473364675,7.0,13.962247018365684,7.0,14.935169708054143,5.0,14.327898479783865,6.285714285714286
