,player_name,position,season,full_year_score,full_year_tier,half_1_score,half_1_tier,half_2_score,half_2_tier,quarter_1_score,quarter_1_tier,quarter_2_score,quarter_2_tier,quarter_3_score,quarter_3_tier,final_6_score,final_6_tier,avg_score,avg_tier
0,T.Hill,WR,2023,18.077757463368492,1,17.826774992863633,1.0,17.888611229015225,2.0,18.147134402600628,2.0,17.773204765729723,2.0,18.421955133272785,2.0,18.23064882307049,1.0,18.052298115703,1.5714285714285714
1,C.Lamb,WR,2023,18.0186270071248,1,17.529966494537344,2.0,18.644343233397727,1.0,16.30786188443676,3.0,17.4921849821879,2.0,19.174205497365975,1.0,18.666107040762963,1.0,17.976185162830497,1.5714285714285714
2,K.Allen,WR,2023,17.74564420785705,1,17.70931051856173,1.0,17.8568266763321,2.0,18.49322437318272,2.0,16.471527723687657,4.0,18.770401474144748,1.0,16.078973869066854,3.0,17.589415548976124,2.0
4,A.Brown,WR,2023,17.32939353778673,2,18.106141269120556,1.0,16.727772319169464,3.0,17.93656070097998,2.0,18.478823031595418,1.0,17.660703915708574,3.0,16.688685783456332,3.0,17.561154365402437,2.142857142857143
6,J.Jefferson,WR,2023,17.131128312856667,2,17.311034422780956,2.0,16.951222202932378,3.0,18.073357815917014,2.0,17.420169760880245,2.0,,,16.951222202932378,2.0,17.306355786383275,2.1666666666666665
3,A.St. Brown,WR,2023,17.504040778181903,2,17.097090638036466,3.0,17.82055755385058,2.0,16.8749349074377,3.0,17.13523459518928,3.0,18.071174811016988,2.0,17.290407023340258,2.0,17.399062901007596,2.4285714285714284
5,P.Nacua,WR,2023,17.15555893634657,2,17.51296357623601,2.0,16.71107081083398,3.0,18.131025096097513,2.0,17.570891420959768,2.0,16.875504253461337,4.0,16.479394710401554,3.0,17.20520125776239,2.5714285714285716
8,J.Chase,WR,2023,16.796612407319273,3,17.69666975296463,1.0,15.88401926110466,4.0,17.140470297419277,3.0,18.800016364340813,1.0,16.665128398760164,4.0,15.95275727724845,4.0,16.990810537022465,2.857142857142857
9,S.Diggs,WR,2023,16.752274257320515,3,17.39059103105193,2.0,16.259331745690037,4.0,17.531751816025196,2.0,17.572674778312653,2.0,16.36485275139763,4.0,16.188355681779495,3.0,16.865690294511065,2.857142857142857
7,D.Adams,WR,2023,16.97539305337328,2,16.86825765475907,3.0,17.00577600891009,3.0,19.36147690951947,1.0,15.521054263996712,6.0,16.356705455266148,4.0,17.218789448634528,2.0,17.0439218277799,3.0
11,A.Thielen,WR,2023,16.68605251958159,3,17.279152912369998,2.0,16.061016699505,4.0,16.54602083729832,3.0,18.49246102330963,1.0,16.7323983110194,4.0,15.603673350238308,4.0,16.771539379046036,3.0
10,B.Aiyuk,WR,2023,16.68898661442244,3,16.945038716386648,3.0,16.48983497956139,3.0,17.991200519430524,2.0,16.58940718575448,4.0,16.560521412590944,4.0,16.446201472069916,3.0,16.81588441431662,3.142857142857143
12,N.Collins,WR,2023,16.659375633489656,3,16.275384699975156,4.0,16.97610688347517,3.0,16.985725898153046,3.0,16.418051815980164,4.0,16.772985647832577,4.0,17.167554719020735,2.0,16.750740756846643,3.2857142857142856
14,J.Waddle,WR,2023,16.32734593132971,4,15.887019310414143,4.0,16.624176646192293,3.0,15.347163289301774,4.0,16.32162866373083,4.0,17.11584379654677,4.0,17.177034010876536,2.0,16.400030235484582,3.5714285714285716
27,G.Wilson,WR,2023,16.029717883897526,4,16.370431012138756,4.0,15.64775096310187,5.0,16.012589751030703,4.0,17.389894922646015,2.0,16.36371416207645,4.0,15.95510711720058,4.0,16.2527436874417,3.857142857142857
22,D.Moore,WR,2023,16.101770096276585,4,16.403477037483373,4.0,15.783925734778734,5.0,16.59210829418209,3.0,17.13409620273969,3.0,16.32250177282922,4.0,15.549065726197464,4.0,16.26956355206959,3.857142857142857
16,D.Hopkins,WR,2023,16.209600974928936,4,16.49159526203308,4.0,16.0379675561667,4.0,16.096811389069906,4.0,16.930520577949743,3.0,16.036330930686795,5.0,16.261554515504194,3.0,16.294911600905625,3.857142857142857
17,A.Cooper,WR,2023,16.208692527741004,4,16.334377359172397,4.0,16.38767503814582,3.0,16.023244325421274,4.0,15.356316549736093,6.0,16.695648736498555,4.0,16.161468697769358,3.0,16.1667747477835,4.0
18,C.Olave,WR,2023,16.168928337851064,4,15.998849140093414,4.0,16.37278261943255,3.0,16.671869312220498,3.0,14.972670731648813,7.0,16.76727594034062,4.0,16.437988748875412,3.0,16.19862354720891,4.0
19,C.Godwin,WR,2023,16.16666897557309,4,16.038215149200976,4.0,16.16371760235851,4.0,16.127308060633762,4.0,16.757284305961388,3.0,15.465468552364566,6.0,16.65810729254954,3.0,16.196681419805977,4.0
20,M.Williams,WR,2023,16.152404716036028,4,16.152404716036028,4.0,,,16.152404716036028,4.0,,,,,,,16.152404716036028,4.0
21,M.Pittman,WR,2023,16.111508620468097,4,15.528272132037715,5.0,16.9867136630047,3.0,15.477281668751221,4.0,14.941647867856554,7.0,17.302521722929136,3.0,16.976181241704975,2.0,16.18916098810749,4.0
25,Z.Flowers,WR,2023,16.061793457069207,4,16.01213130206328,4.0,15.792646404218035,4.0,16.464697399310968,3.0,16.2652152731636,4.0,15.174638951091495,6.0,16.378069808940303,3.0,16.021313227979558,4.0
13,M.Evans,WR,2023,16.44791725017406,4,16.224131274656347,4.0,16.66395500962425,3.0,16.920572304786663,3.0,14.920744237839905,7.0,16.98985664716554,4.0,16.407249328978615,3.0,16.36777515046077,4.0
28,D.Smith,WR,2023,16.0154240929273,4,15.372290379025547,5.0,16.68997563456835,3.0,15.794567384165232,4.0,15.093706523619158,7.0,18.226047046062135,2.0,16.281013501454293,3.0,16.210432080260286,4.0
23,T.Dell,WR,2023,16.07536007255036,4,15.773405811468157,4.0,17.44111910061416,2.0,15.497662704693889,4.0,14.516019892110483,8.0,16.877652507033577,4.0,16.701426578608313,3.0,16.12609238101128,4.142857142857143
26,D.Johnson,WR,2023,16.03740374718112,4,16.829660373046554,3.0,16.059373983527117,4.0,13.228771524421921,8.0,17.33186867683074,2.0,16.816472024451834,4.0,15.91875747777738,4.0,16.031758258176666,4.142857142857143
24,D.Samuel,WR,2023,16.066716328303414,4,15.540003093418711,5.0,16.417858484893216,3.0,16.32723999176604,3.0,13.815776655821999,9.0,16.35824008096475,4.0,16.859708655118848,2.0,15.912220470040998,4.285714285714286
